District,PVI,Dem Vote,SWING,Current Rep,GOP Reps after,DEM Reps after,GOP Reps befo,DEM Reps befo,DEM Gain,WIN PROB (DEM),ACTUAL WIN PROB,GEN BALLOT,NAT PARTISAN,REVER TO MEAN
PA-16,-5,49,,0,,,,,,40,40,,,
PA-17,-1,56,,1,,,,,,110,110,,,
PA-18,-11,48.5,,0,,,,,,35,35,,,
RI-1,14,63.5,,1,,,,,,185,185,,,
RI-2,6,59.5,,1,,,,,,145,145,,,
SC-1,-10,46.5,,0,,,,,,15,15,,,
SC-2,-12,45.5,,0,,,,,,5,5,,,
SC-3,-19,42,,0,,,,,,-30,5,,,
SC-4,-15,44,,0,,,,,,-10,5,,,
SC-5,-9,47,,0,,,,,,20,20,,,
SC-6,19,66,,1,,,,,,210,210,,,
SC-7,-9,47,,0,,,,,,20,20,,,
SD-At_Large,-17,45.5,,0,,,,,,5,5,,,
TN-1,-28,37.5,,0,,,,,,-75,5,,,
TN-2,-20,44,,0,,,,,,-10,5,,,
TN-3,-18,42.5,,0,,,,,,-25,5,,,
TN-4,-20,41.5,,0,,,,,,-35,5,,,
TN-5,7,60,,1,,,,,,150,150,,,
TN-6,-24,42,,0,,,,,,-30,5,,,
TN-7,-20,44,,0,,,,,,-10,5,,,
TN-8,-19,42,,0,,,,,,-30,5,,,
TN-9,28,70.5,,1,,,,,,255,255,,,
TX-1,-25,39,,0,,,,,,-60,5,,,
TX-2,-11,48.5,,0,,,,,,35,35,,,
TX-3,-13,47.5,,0,,,,,,25,25,,,
TX-4,-28,37.5,,0,,,,,,-75,5,,,
TX-5,-16,46,,0,,,,,,10,10,,,
TX-6,-9,49.5,,0,,,,,,45,45,,,
TX-7,-7,48,,0,,,,,,30,30,,,
TX-8,-28,37.5,,0,,,,,,-75,5,,,
TX-9,29,71,,1,,,,,,260,260,,,
TX-10,-9,47,,0,,,,,,20,20,,,
TX-11,-32,35.5,,0,,,,,,-95,5,,,
TX-12,-18,42.5,,0,,,,,,-25,5,,,
TX-13,-33,35,,0,,,,,,-100,5,,,
TX-14,-12,45.5,,0,,,,,,5,5,,,
TX-15,7,60,,1,,,,,,150,150,,,
TX-16,17,62.5,,1,,,,,,175,175,,,
TX-17,-12,45.5,,0,,,,,,5,5,,,
TX-18,27,70,,1,,,,,,250,250,,,
TX-19,-27,38,,0,,,,,,-70,5,,,
TX-20,10,61.5,,1,,,,,,165,165,,,
TX-21,-10,49,,0,,,,,,40,40,,,
TX-22,-10,46.5,,0,,,,,,15,15,,,
TX-23,-1,56,,0,,,,,,110,110,,,
TX-24,-9,47,,0,,,,,,20,20,,,
TX-25,-11,46,,0,,,,,,10,10,,,
TX-26,-18,42.5,,0,,,,,,-25,5,,,
TX-27,-13,47.5,,0,,,,,,25,25,,,
TX-28,9,61,,1,,,,,,160,160,,,
TX-29,19,63.5,,1,,,,,,185,185,,,
TX-30,29,71,,1,,,,,,260,260,,,
TX-31,-10,46.5,,0,,,,,,15,15,,,
TX-32,-5,49,,0,,,,,,40,40,,,
TX-33,23,68,,1,,,,,,230,230,,,
TX-34,10,61.5,,1,,,,,,165,165,,,
TX-35,15,64,,1,,,,,,190,190,,,
TX-36,-26,38.5,,0,,,,,,-65,5,,,
UT-1,-26,38.5,,0,,,,,,-65,5,,,
UT-2,-16,43.5,,0,,,,,,-15,5,,,
UT-3,-25,39,,0,,,,,,-60,5,,,
UT-4,-13,45,,0,,,,,,0,5,,,
VT-At_Large,15,64,,1,,,,,,190,190,,,
VA-1,-8,47.5,,0,,,,,,25,25,,,
VA-2,-3,50,,0,,,,,,50,50,,,
VA-3,16,64.5,,1,,,,,,195,195,,,
VA-4,10,61.5,,1,,,,,,165,165,,,
VA-5,-6,48.5,,0,,,,,,35,35,,,
VA-6,-13,47.5,,0,,,,,,25,25,,,
VA-7,-6,48.5,,0,,,,,,35,35,,,
VA-8,21,67,,1,,,,,,220,220,,,
VA-9,-19,42,,0,,,,,,-30,5,,,
VA-10,1,52,,0,,,,,,70,70,,,
VA-11,15,64,,1,,,,,,190,190,,,
WA-1,6,59.5,,1,,,,,,145,145,,,
WA-2,10,61.5,,1,,,,,,165,165,,,
WA-3,-4,49.5,,0,,,,,,45,45,,,
WA-4,-13,45,,0,,,,,,0,5,,,
WA-5,-8,47.5,,0,,,,,,25,25,,,
WA-6,6,59.5,,1,,,,,,145,145,,,
WA-7,33,73,,1,,,,,,280,280,,,
WA-8,0,54,,0,,,,,,90,90,,,
WA-9,21,67,,1,,,,,,220,220,,,
WA-10,5,59,,1,,,,,,140,140,,,
WV-1,-19,42,,0,,,,,,-30,5,,,
WV-2,-17,43,,0,,,,,,-20,5,,,
WV-3,-23,42.5,,0,,,,,,-25,5,,,
WI-1,-5,46.5,,0,,,,,,15,15,,,
WI-2,18,65.5,,1,,,,,,205,205,,,
WI-3,0,56.5,,1,,,,,,115,115,,,
WI-4,25,69,,1,,,,,,240,240,,,
WI-5,-13,45,,0,,,,,,0,5,,,
WI-6,-8,47.5,,0,,,,,,25,25,,,
WI-7,-8,47.5,,0,,,,,,25,25,,,
WI-8,-7,48,,0,,,,,,30,30,,,
WY-At_Large,-25,39,,0,,,,,,-60,5,,,
